ageOfWife;ageOfHusband;AgeOfWife1stbirth;AgeofHusband1stbirth;educationWife;educationHusband;FrequencyInternetWife;FrequencyInternetHusband;Wealth;TypeofPlace;Totalchildren;Agechild;Sexthefirstchild
25;31;19;25;Primary;Primary;NotAtAll;NotAtAll;Poorer;Rural;1;6;M
33;40;17;24;Primary;Primary;NotAtAll;NotAtAll;Poorer;Rural;2;16;M
40;44;20;24;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;4;20;M
35;37;24;25;Primary;Secondary;NotAtAll;At least once a week;Middle;Rural;1;10;F
49;49;19;19;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;4;30;M
47;49;32;26;Higher;Secondary;NotAtAll;NotAtAll;Middle;Rural;1;14;M
32;31;23;22;Secondary;Secondary;onceAweek;NotAtAll;Poorest;Urban;3;9;M
32;37;18;24;Secondary;Secondary;NotAtAll;NotAtAll;Poorer;Urban;3;13;M
40;41;15;27;Primary;Primary;NotAtAll;NotAtAll;Poorer;Rural;6;24;M
47;53;21;27;Secondary;Primary;NotAtAll;NotAtAll;Middle;Rural;3;26;M
32;37;21;26;Higher;Secondary;AlmostEveryday;NotAtAll;Poorer;Rural;2;11;F
35;38;19;22;Secondary;Secondary;NotAtAll;NotAtAll;Poorer;Rural;3;15;M
30;32;20;22;Primary;Primary;LessThanOnceAweek;AlmostEveryday;Poorer;Urban;3;10;M
38;37;25;25;Higher;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;3;13;M
21;24;19;21;Higher;Primary;onceAweek;onceAweek;Poorest;Urban;2;0;F
36;41;22;26;Secondary;Secondary;onceAweek;NotAtAll;Middle;Urban;3;14;M
27;26;19;19;Higher;Secondary;AlmostEveryday;At least once a week;Poorest;Urban;1;7;F
35;39;19;26;Secondary;Primary;NotAtAll;NotAtAll;Poorest;Rural;4;16;F
45;53;21;30;Secondary;Primary;NotAtAll;NotAtAll;Poorer;Rural;6;23;F
29;33;18;20;Secondary;Secondary;NotAtAll;NotAtAll;Poorest;Rural;2;10;F
44;49;21;27;Secondary;Secondary;NotAtAll;NotAtAll;Richer;Rural;2;22;F
45;48;20;24;Secondary;Secondary;NotAtAll;NotAtAll;Poorer;Rural;4;24;F
24;28;22;26;Higher;Higher;LessThanOnceAweek;LessThanOnceAweek;Poorer;Rural;2;0;M
46;48;22;25;Primary;Secondary;NotAtAll;NotAtAll;Poorer;Rural;4;23;M
43;52;25;35;Secondary;Primary;NotAtAll;NotAtAll;Poorest;Rural;3;17;M
41;39;23;21;Secondary;Secondary;NotAtAll;At least once a week;Poorest;Rural;3;18;F
43;51;20;32;Secondary;Secondary;NotAtAll;NotAtAll;Poorest;Rural;4;22;M
35;39;17;22;Primary;Secondary;NotAtAll;NotAtAll;Poorer;Rural;2;17;F
40;54;17;31;Primary;Higher;NotAtAll;NotAtAll;Poorest;Rural;5;22;F
41;41;21;22;Primary;Primary;NotAtAll;NotAtAll;Middle;Urban;3;19;F
30;34;19;26;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;4;10;F
40;42;21;33;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;3;18;M
43;47;21;25;Primary;Secondary;NotAtAll;NotAtAll;Poorest;Rural;3;22;M
42;42;17;17;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;7;25;F
25;28;24;27;Higher;Secondary;AlmostEveryday;At least once a week;Richer;Rural;1;1;F
48;45;26;25;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;4;21;F
19;22;18;21;Secondary;Secondary;NotAtAll;At least once a week;Poorest;Rural;1;0;F
30;34;23;27;Primary;Secondary;NotAtAll;NotAtAll;Poorest;Rural;1;0;F
38;43;20;27;Secondary;Primary;NotAtAll;NotAtAll;Middle;Rural;3;18;M
25;30;16;21;Higher;Higher;AlmostEveryday;AlmostEveryday;Richest;Rural;1;8;F
39;42;27;30;Secondary;Secondary;NotAtAll;NotAtAll;Poorest;Rural;2;12;F
29;30;18;19;Secondary;Secondary;NotAtAll;At least once a week;Richer;Rural;2;10;M
31;33;28;30;Higher;Higher;AlmostEveryday;AlmostEveryday;Richer;Rural;1;2;M
33;34;18;19;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;4;15;F
46;53;14;22;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;2;31;F
36;33;22;19;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;2;14;M
39;42;24;28;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;2;14;F
44;43;21;22;Higher;Secondary;NotAtAll;NotAtAll;Poorer;Rural;3;22;M
23;27;18;22;Primary;Higher;onceAweek;AlmostEveryday;Poorer;Urban;1;4;M
30;36;24;22;Higher;Higher;onceAweek;AlmostEveryday;Poorer;Urban;1;6;F
17;21;16;20;Secondary;Secondary;NotAtAll;NotAtAll;Poorest;Urban;1;1;F
45;42;23;20;Primary;Primary;NotAtAll;NotAtAll;Poorest;Urban;6;21;M
45;53;22;30;Higher;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;3;22;F
28;35;19;26;Primary;Secondary;NotAtAll;AlmostEveryday;Poorer;Urban;3;9;F
36;36;24;23;Secondary;Secondary;NotAtAll;NotAtAll;Middle;Rural;2;11;F
30;37;19;26;Secondary;Secondary;NotAtAll;NotAtAll;Richer;Rural;3;11;M
45;53;19;26;Primary;Secondary;NotAtAll;NotAtAll;Poorest;Rural;5;26;F
45;50;20;25;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;4;24;F
32;37;17;21;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;3;15;M
46;50;24;28;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;9;21;M
27;38;17;27;Secondary;Secondary;NotAtAll;NotAtAll;Poorer;Rural;3;10;F
34;35;23;24;No education;Primary;NotAtAll;NotAtAll;Poorest;Rural;3;11;M
26;26;25;24;Primary;Secondary;NotAtAll;NotAtAll;Poorest;Rural;1;1;F
29;33;21;25;Secondary;Secondary;NotAtAll;NotAtAll;Poorest;Rural;3;8;F
35;46;16;28;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;3;18;F
42;49;21;43;Secondary;Secondary;NotAtAll;NotAtAll;Poorest;Rural;4;20;M
42;43;22;22;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;5;20;F
46;47;26;28;Secondary;Primary;NotAtAll;NotAtAll;Poorer;Rural;2;19;F
19;28;17;26;Secondary;Higher;AlmostEveryday;NotAtAll;Richest;Rural;1;2;M
41;52;21;32;Higher;Higher;NotAtAll;NotAtAll;Richer;Rural;3;20;M
32;34;20;22;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;2;12;M
37;34;22;27;Secondary;Secondary;NotAtAll;NotAtAll;Poorest;Rural;3;14;F
36;36;28;21;Secondary;Higher;NotAtAll;AlmostEveryday;Richer;Rural;3;8;M
27;35;17;25;Primary;Primary;NotAtAll;NotAtAll;Poorer;Rural;2;9;F
46;49;21;20;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;3;25;M
39;39;27;27;Secondary;Primary;NotAtAll;NotAtAll;Poorest;Rural;2;11;F
37;44;16;24;No education;No education;NotAtAll;NotAtAll;Poorest;Rural;7;20;F
32;37;23;28;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;3;8;F
33;39;14;20;Secondary;Primary;NotAtAll;NotAtAll;Poorest;Rural;4;19;M
35;37;16;21;Secondary;Secondary;NotAtAll;NotAtAll;Poorest;Rural;4;19;M
42;47;15;20;Secondary;Secondary;NotAtAll;NotAtAll;Poorest;Rural;5;27;M
31;25;20;18;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;3;11;F
24;32;22;29;Higher;Higher;AlmostEveryday;AlmostEveryday;Richer;Urban;2;2;M
41;50;19;22;Secondary;Secondary;NotAtAll;NotAtAll;Richer;Urban;2;21;M
45;48;27;30;Secondary;Secondary;NotAtAll;NotAtAll;Middle;Urban;3;17;M
38;43;19;25;Secondary;Higher;NotAtAll;AlmostEveryday;Richer;Urban;5;18;F
35;36;25;24;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richest;Urban;2;10;F
38;36;25;23;Secondary;Secondary;NotAtAll;LessThanOnceAweek;Richer;Rural;2;12;M
48;52;30;34;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;3;18;F
30;28;23;28;Higher;Secondary;LessThanOnceAweek;LessThanOnceAweek;Poorest;Rural;3;0;M
48;51;21;24;Secondary;Higher;NotAtAll;NotAtAll;Poorer;Rural;4;26;M
25;30;20;25;Primary;Secondary;NotAtAll;NotAtAll;Poorest;Rural;2;4;F
34;38;25;28;Secondary;Higher;onceAweek;onceAweek;Middle;Rural;3;9;M
29;28;21;20;Secondary;Primary;NotAtAll;LessThanOnceAweek;Poorest;Rural;2;8;M
29;35;19;25;Secondary;Secondary;NotAtAll;NotAtAll;Poorest;Rural;1;10;F
23;33;19;30;Secondary;Higher;NotAtAll;NotAtAll;Poorest;Rural;1;3;F
30;37;17;24;Secondary;Secondary;NotAtAll;NotAtAll;Poorest;Rural;2;13;F
30;31;26;29;Higher;Higher;NotAtAll;NotAtAll;Poorer;Rural;1;3;M
35;34;21;21;Secondary;Primary;NotAtAll;NotAtAll;Middle;Rural;2;13;M
32;46;21;34;Secondary;Secondary;NotAtAll;NotAtAll;Richer;Rural;1;11;M
41;44;19;22;Secondary;Higher;NotAtAll;At least once a week;Poorest;Rural;3;22;M
38;39;21;21;Secondary;Secondary;NotAtAll;At least once a week;Poorer;Rural;6;17;F
32;31;29;28;Secondary;Higher;LessThanOnceAweek;LessThanOnceAweek;Poorer;Rural;1;3;F
38;49;22;31;Primary;Secondary;NotAtAll;NotAtAll;Poorest;Urban;5;16;F
38;40;22;25;Secondary;Primary;NotAtAll;NotAtAll;Middle;Urban;3;13;M
40;41;25;26;Secondary;Secondary;NotAtAll;NotAtAll;Poorest;Urban;1;14;M
33;43;19;29;Secondary;Secondary;NotAtAll;NotAtAll;Poorer;Urban;4;14;M
34;41;21;28;Higher;Higher;AlmostEveryday;At least once a week;Richer;Urban;2;12;F
32;35;21;23;Secondary;Secondary;NotAtAll;NotAtAll;Poorer;Urban;2;11;F
24;25;19;19;Secondary;Secondary;AlmostEveryday;At least once a week;Richest;Urban;2;5;F
40;42;25;27;Primary;Primary;AlmostEveryday;AlmostEveryday;Richest;Urban;1;14;F
32;26;27;20;No education;Primary;NotAtAll;At least once a week;Poorer;Urban;3;5;M
32;35;22;26;Secondary;Secondary;onceAweek;AlmostEveryday;Richer;Urban;2;9;F
49;52;29;32;Secondary;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;2;19;M
35;36;26;28;Higher;Higher;AlmostEveryday;At least once a week;Richest;Urban;2;8;F
32;30;19;18;Higher;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;1;12;M
48;45;33;29;Higher;Secondary;AlmostEveryday;At least once a week;Richer;Urban;1;15;F
29;30;21;23;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richer;Urban;3;7;F
32;35;23;26;Higher;Higher;LessThanOnceAweek;AlmostEveryday;Richer;Urban;2;8;M
29;31;25;27;Higher;Secondary;onceAweek;AlmostEveryday;Richer;Urban;1;3;M
49;54;21;26;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richest;Urban;2;27;M
35;43;29;22;Higher;Secondary;AlmostEveryday;At least once a week;Richer;Urban;2;5;M
32;37;25;30;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Middle;Urban;1;6;F
29;27;27;25;Primary;Secondary;onceAweek;AlmostEveryday;Richest;Urban;1;1;F
23;27;20;24;Secondary;Higher;LessThanOnceAweek;AlmostEveryday;Poorer;Urban;2;2;M
22;30;21;29;Higher;Secondary;onceAweek;NotAtAll;Richer;Urban;2;1;M
33;37;21;25;Secondary;Secondary;NotAtAll;AlmostEveryday;Middle;Urban;2;11;M
34;35;16;19;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richer;Urban;3;16;F
31;34;19;23;Secondary;Secondary;NotAtAll;NotAtAll;Poorer;Urban;4;10;M
26;29;16;19;Secondary;Secondary;NotAtAll;At least once a week;Middle;Rural;1;9;F
48;54;17;23;Primary;Primary;NotAtAll;NotAtAll;Richer;Rural;2;31;M
31;30;25;25;Higher;Higher;LessThanOnceAweek;At least once a week;Richer;Rural;1;5;F
41;44;31;34;Primary;Secondary;NotAtAll;NotAtAll;Middle;Rural;2;9;F
39;39;23;24;Secondary;Primary;NotAtAll;NotAtAll;Middle;Urban;3;15;M
36;39;22;26;Secondary;Higher;AlmostEveryday;NotAtAll;Richest;Urban;1;13;F
44;45;17;18;Primary;Primary;NotAtAll;NotAtAll;Poorer;Urban;4;26;M
23;26;22;25;Secondary;Secondary;NotAtAll;AlmostEveryday;Poorer;Urban;1;0;F
25;27;17;19;Secondary;Primary;onceAweek;NotAtAll;Poorer;Urban;2;7;F
33;40;31;37;Higher;Secondary;AlmostEveryday;AlmostEveryday;Richest;Rural;1;2;M
36;37;26;27;Higher;Secondary;AlmostEveryday;At least once a week;Richest;Rural;3;9;F
42;45;27;30;Secondary;Secondary;NotAtAll;NotAtAll;Richer;Rural;3;15;F
42;40;29;27;Secondary;Secondary;NotAtAll;NotAtAll;Middle;Rural;2;13;M
41;38;22;19;Secondary;Secondary;NotAtAll;LessThanOnceAweek;Middle;Rural;3;18;F
34;32;25;24;Primary;Primary;NotAtAll;LessThanOnceAweek;Poorer;Rural;3;8;F
31;39;25;15;Primary;No education;NotAtAll;NotAtAll;Poorer;Rural;2;5;M
18;27;17;27;Secondary;Primary;NotAtAll;NotAtAll;Poorer;Rural;1;0;M
36;32;27;23;Higher;Secondary;AlmostEveryday;At least once a week;Richer;Rural;2;9;F
49;51;16;18;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;4;32;M
32;35;21;24;Secondary;Primary;NotAtAll;NotAtAll;Poorest;Rural;2;11;M
23;35;21;33;Secondary;Secondary;AlmostEveryday;NotAtAll;Poorer;Urban;1;2;F
44;46;26;29;Higher;Higher;NotAtAll;AlmostEveryday;Richest;Urban;4;17;F
25;40;19;99;Primary;Primary;NotAtAll;NotAtAll;Poorest;Urban;1;6;F
35;37;20;24;Secondary;Primary;NotAtAll;NotAtAll;Middle;Urban;3;14;M
42;48;21;29;Primary;Secondary;NotAtAll;NotAtAll;Poorer;Urban;3;20;F
38;46;20;29;Secondary;Secondary;NotAtAll;NotAtAll;Poorest;Rural;4;18;M
47;43;33;29;Secondary;Secondary;NotAtAll;NotAtAll;Poorer;Rural;1;14;F
37;37;26;27;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;2;10;M
32;36;21;26;Secondary;Primary;NotAtAll;NotAtAll;Poorest;Rural;2;10;F
28;35;18;27;Secondary;Higher;AlmostEveryday;AlmostEveryday;Richest;Rural;2;9;M
37;45;21;29;Primary;Primary;NotAtAll;NotAtAll;Middle;Rural;1;16;M
39;37;19;19;Secondary;Secondary;NotAtAll;At least once a week;Poorer;Rural;6;19;F
40;48;17;27;Primary;Primary;NotAtAll;NotAtAll;Poorer;Rural;3;16;F
36;37;22;24;Secondary;Secondary;NotAtAll;NotAtAll;Poorest;Rural;2;14;M
30;37;18;25;Primary;Secondary;AlmostEveryday;NotAtAll;Poorest;Rural;3;11;M
38;44;21;27;Secondary;No education;NotAtAll;NotAtAll;Poorest;Rural;2;17;F
45;52;20;27;Secondary;Primary;NotAtAll;NotAtAll;Richest;Urban;3;25;M
49;49;20;23;Higher;Secondary;NotAtAll;NotAtAll;Richest;Urban;6;28;M
45;44;29;99;Secondary;Secondary;NotAtAll;NotAtAll;Richer;Urban;2;16;F
42;41;25;25;Secondary;Secondary;NotAtAll;NotAtAll;Middle;Urban;2;17;M
36;40;24;27;Secondary;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;3;12;M
49;52;41;99;Primary;No education;NotAtAll;NotAtAll;Middle;Rural;1;0;F
25;25;21;22;Secondary;Primary;AlmostEveryday;AlmostEveryday;Middle;Rural;1;3;M
17;20;16;19;Secondary;Secondary;NotAtAll;NotAtAll;Middle;Rural;1;1;F
34;35;21;22;Primary;Primary;NotAtAll;AlmostEveryday;Richer;Rural;3;12;F
42;42;19;21;Primary;Primary;NotAtAll;NotAtAll;Middle;Urban;5;18;M
32;35;23;27;Secondary;Secondary;AlmostEveryday;NotAtAll;Richest;Urban;2;8;M
39;39;22;24;No education;Secondary;NotAtAll;NotAtAll;Middle;Urban;3;16;F
35;39;19;23;Secondary;Secondary;NotAtAll;NotAtAll;Richer;Urban;3;15;F
43;42;20;21;Secondary;Secondary;NotAtAll;NotAtAll;Richer;Urban;3;22;F
38;40;24;24;Secondary;Secondary;LessThanOnceAweek;NotAtAll;Richer;Urban;6;13;F
43;52;20;30;Secondary;Secondary;NotAtAll;NotAtAll;Richer;Urban;7;22;F
37;37;19;21;Secondary;Primary;LessThanOnceAweek;NotAtAll;Richest;Urban;4;17;F
45;39;39;33;Secondary;Secondary;NotAtAll;NotAtAll;Middle;Urban;1;5;M
33;29;26;26;Secondary;Secondary;LessThanOnceAweek;NotAtAll;Middle;Urban;3;7;F
36;51;20;36;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richest;Urban;4;15;F
40;47;24;30;No education;No education;NotAtAll;NotAtAll;Poorest;Rural;1;16;F
44;44;20;25;Primary;Secondary;NotAtAll;NotAtAll;Middle;Rural;1;23;F
43;44;20;22;Primary;Secondary;NotAtAll;NotAtAll;Richer;Rural;2;22;F
29;31;20;23;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;2;8;F
22;26;21;25;Secondary;Higher;LessThanOnceAweek;LessThanOnceAweek;Poorer;Rural;1;1;M
42;44;25;27;Primary;Primary;NotAtAll;NotAtAll;Middle;Rural;3;15;F
39;39;26;26;Secondary;Primary;NotAtAll;NotAtAll;Poorer;Rural;2;12;M
48;51;19;23;Secondary;Secondary;NotAtAll;NotAtAll;Poorest;Rural;3;28;F
34;36;18;20;Higher;Secondary;NotAtAll;NotAtAll;Middle;Rural;2;16;M
40;42;24;26;Primary;Primary;NotAtAll;NotAtAll;Poorer;Rural;3;16;F
34;33;27;26;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;1;6;M
26;35;21;29;Secondary;Primary;NotAtAll;NotAtAll;Poorest;Rural;2;5;M
46;52;16;22;Primary;No education;NotAtAll;NotAtAll;Poorest;Rural;3;29;M
23;29;18;24;Primary;Primary;onceAweek;LessThanOnceAweek;Poorest;Rural;2;5;F
30;35;30;34;Higher;Secondary;LessThanOnceAweek;NotAtAll;Poorest;Rural;1;0;M
35;40;23;28;Secondary;Secondary;onceAweek;NotAtAll;Richest;Urban;2;12;F
39;39;24;24;Higher;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;3;15;F
43;49;29;36;Secondary;No education;NotAtAll;NotAtAll;Richer;Rural;3;13;F
43;50;18;26;Primary;Secondary;NotAtAll;NotAtAll;Richest;Rural;3;24;F
28;35;24;31;Secondary;Secondary;NotAtAll;NotAtAll;Richer;Rural;2;4;F
44;36;36;30;Higher;Secondary;onceAweek;LessThanOnceAweek;Richer;Rural;2;7;M
28;38;18;28;Secondary;Primary;NotAtAll;NotAtAll;Poorer;Rural;2;9;M
32;43;15;27;Secondary;Primary;NotAtAll;NotAtAll;Poorest;Rural;3;17;F
35;36;31;32;Primary;Primary;NotAtAll;NotAtAll;Poorer;Rural;1;4;M
25;24;19;22;Primary;Primary;NotAtAll;NotAtAll;Poorer;Rural;2;6;M
37;43;18;24;Primary;Higher;NotAtAll;NotAtAll;Middle;Rural;3;19;F
20;25;17;21;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;1;2;M
41;51;16;26;Primary;Secondary;NotAtAll;NotAtAll;Middle;Rural;3;24;F
47;51;22;23;Primary;Primary;NotAtAll;NotAtAll;Poorer;Rural;3;24;F
39;41;19;21;Primary;Primary;NotAtAll;NotAtAll;Middle;Rural;4;20;F
48;43;25;21;Secondary;Primary;NotAtAll;NotAtAll;Poorer;Rural;4;23;M
38;47;18;27;Secondary;Primary;NotAtAll;NotAtAll;Poorer;Rural;4;20;M
38;32;25;21;Primary;Primary;NotAtAll;NotAtAll;Poorer;Rural;2;12;M
39;42;18;20;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;3;20;M
33;32;24;25;Higher;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;3;8;M
35;30;29;25;Higher;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;3;6;F
33;44;17;28;Secondary;Secondary;NotAtAll;At least once a week;Middle;Urban;3;15;M
31;30;24;24;Secondary;Primary;NotAtAll;NotAtAll;Poorer;Rural;1;6;M
31;33;20;23;Primary;Primary;NotAtAll;NotAtAll;Middle;Rural;3;10;M
33;43;17;28;Higher;Primary;onceAweek;NotAtAll;Middle;Rural;2;15;M
22;25;22;25;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Middle;Rural;1;0;F
21;26;18;23;Secondary;Secondary;onceAweek;NotAtAll;Richer;Rural;1;2;M
40;45;17;22;Primary;Primary;NotAtAll;NotAtAll;Poorer;Rural;2;22;F
41;51;20;31;Secondary;Secondary;NotAtAll;NotAtAll;Poorer;Rural;3;21;M
41;42;25;26;Secondary;Secondary;NotAtAll;NotAtAll;Middle;Rural;2;15;F
30;37;23;30;Higher;Secondary;AlmostEveryday;NotAtAll;Richest;Rural;1;7;F
47;49;27;29;Higher;Secondary;NotAtAll;NotAtAll;Richer;Rural;2;19;F
33;47;18;41;Primary;No education;NotAtAll;NotAtAll;Poorer;Rural;2;15;M
38;40;19;22;Secondary;Secondary;NotAtAll;NotAtAll;Middle;Rural;3;18;F
23;22;19;19;Secondary;Higher;AlmostEveryday;AlmostEveryday;Richest;Rural;1;3;M
29;36;20;27;Secondary;Secondary;onceAweek;NotAtAll;Richer;Rural;1;9;F
21;28;19;27;Secondary;Primary;onceAweek;NotAtAll;Poorest;Rural;1;1;F
34;42;18;26;Primary;Primary;NotAtAll;NotAtAll;Poorer;Rural;2;16;F
45;42;23;21;Primary;Primary;NotAtAll;NotAtAll;Poorer;Rural;2;21;F
46;48;21;16;Primary;Primary;NotAtAll;NotAtAll;Middle;Rural;3;24;F
27;35;15;24;Primary;Secondary;NotAtAll;NotAtAll;Poorer;Rural;2;11;M
49;48;24;23;Secondary;Secondary;NotAtAll;AlmostEveryday;Poorer;Rural;2;24;M
31;32;23;24;Primary;Secondary;onceAweek;AlmostEveryday;Richer;Urban;1;8;M
48;52;23;28;Secondary;Secondary;NotAtAll;NotAtAll;Richer;Urban;3;24;F
48;53;19;24;Secondary;Secondary;NotAtAll;NotAtAll;Richer;Urban;3;28;M
26;28;25;27;Higher;Higher;AlmostEveryday;AlmostEveryday;Richest;Urban;1;0;M
43;39;23;34;Higher;Secondary;NotAtAll;NotAtAll;Richer;Urban;3;20;F
37;42;23;29;Primary;Primary;NotAtAll;NotAtAll;Poorest;Urban;3;14;M
45;45;20;25;Secondary;Primary;NotAtAll;NotAtAll;Poorest;Urban;7;24;M
25;41;21;38;Secondary;Primary;AlmostEveryday;NotAtAll;Middle;Urban;1;4;M
28;39;20;22;Primary;Primary;NotAtAll;NotAtAll;Poorer;Urban;2;8;F
37;36;22;23;Secondary;Primary;NotAtAll;NotAtAll;Poorer;Urban;4;14;F
42;47;14;20;Primary;Primary;NotAtAll;NotAtAll;Poorest;Urban;7;28;M
47;52;20;27;Secondary;Secondary;NotAtAll;NotAtAll;Poorer;Rural;5;26;M
41;47;21;27;Primary;Secondary;NotAtAll;NotAtAll;Richer;Rural;4;20;F
33;38;18;22;Secondary;Secondary;NotAtAll;At least once a week;Poorest;Rural;2;14;M
40;49;18;28;Secondary;Secondary;NotAtAll;NotAtAll;Poorest;Rural;4;21;M
48;50;25;27;Primary;Primary;NotAtAll;NotAtAll;Poorer;Rural;2;12;M
44;44;19;22;Secondary;Primary;NotAtAll;NotAtAll;Poorer;Urban;5;25;M
35;43;22;37;Secondary;Higher;AlmostEveryday;NotAtAll;Richer;Urban;2;12;M
37;44;21;28;Secondary;Secondary;NotAtAll;NotAtAll;Poorest;Urban;2;15;M
42;45;18;22;Secondary;Primary;NotAtAll;NotAtAll;Poorer;Urban;5;24;F
41;49;19;27;Primary;Secondary;NotAtAll;NotAtAll;Poorer;Rural;2;22;F
40;44;19;21;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;4;21;M
36;44;21;29;Secondary;Secondary;LessThanOnceAweek;AlmostEveryday;Richest;Urban;2;14;M
38;29;37;28;Secondary;Primary;NotAtAll;NotAtAll;Middle;Urban;1;1;M
44;48;25;29;Primary;Primary;NotAtAll;NotAtAll;Poorer;Rural;2;19;F
40;53;20;33;Secondary;Secondary;NotAtAll;NotAtAll;Poorer;Rural;3;19;M
34;36;27;29;Secondary;Secondary;NotAtAll;NotAtAll;Poorest;Rural;3;7;F
47;52;17;21;Primary;Primary;NotAtAll;NotAtAll;Middle;Rural;5;30;F
36;29;35;28;Primary;Primary;NotAtAll;At least once a week;Poorer;Rural;1;0;F
44;44;29;29;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;2;15;F
44;46;31;33;Primary;No education;NotAtAll;NotAtAll;Poorer;Rural;1;12;M
39;44;20;25;Secondary;Primary;NotAtAll;NotAtAll;Poorer;Rural;5;18;F
37;44;19;26;Secondary;Primary;NotAtAll;NotAtAll;Middle;Rural;3;17;M
23;28;23;28;Higher;Higher;AlmostEveryday;AlmostEveryday;Richest;Rural;1;0;F
28;38;27;38;Higher;Higher;AlmostEveryday;AlmostEveryday;Middle;Rural;1;0;M
36;44;21;29;No education;No education;NotAtAll;NotAtAll;Poorest;Rural;4;14;F
35;35;18;18;Primary;Primary;NotAtAll;NotAtAll;Poorest;Rural;3;17;M
27;35;19;27;Secondary;Secondary;AlmostEveryday;NotAtAll;Middle;Rural;1;8;M
44;40;21;18;Primary;Secondary;NotAtAll;NotAtAll;Poorer;Rural;2;22;M
47;51;27;99;Primary;No education;NotAtAll;NotAtAll;Poorest;Rural;3;20;F
26;26;19;99;Higher;Secondary;onceAweek;onceAweek;Middle;Rural;2;6;M
25;27;18;20;Secondary;Primary;AlmostEveryday;At least once a week;Poorest;Rural;2;7;M
42;53;23;30;Secondary;Higher;NotAtAll;NotAtAll;Richer;Rural;2;19;F
48;50;18;33;Primary;No education;NotAtAll;NotAtAll;Poorest;Rural;3;21;F
26;30;18;20;Secondary;Higher;onceAweek;AlmostEveryday;Poorer;Urban;2;8;M
22;27;21;26;Secondary;Primary;NotAtAll;NotAtAll;Poorer;Urban;1;0;F
18;27;18;27;Secondary;Primary;onceAweek;onceAweek;Poorer;Urban;1;0;M
24;30;20;25;Secondary;Secondary;NotAtAll;NotAtAll;Poorer;Urban;2;4;F
48;50;24;19;Primary;Primary;NotAtAll;NotAtAll;Richer;Urban;4;23;M
33;35;19;21;Secondary;Secondary;NotAtAll;AlmostEveryday;Poorer;Urban;2;14;F
29;28;17;23;Primary;Secondary;NotAtAll;NotAtAll;Richer;Rural;2;11;M
49;49;29;21;Secondary;Higher;NotAtAll;AlmostEveryday;Richest;Rural;2;19;M
30;35;20;26;Secondary;Secondary;AlmostEveryday;AlmostEveryday;Richer;Rural;2;9;M
45;44;33;34;Secondary;Higher;NotAtAll;AlmostEveryday;Poorer;Rural;3;11;F
36;39;27;29;Higher;Higher;AlmostEveryday;AlmostEveryday;Richer;Rural;3;9;F
21;26;20;26;Secondary;Secondary;LessThanOnceAweek;NotAtAll;Poorest;Rural;1;1;F
24;32;17;25;Secondary;Secondary;NotAtAll;NotAtAll;Poorest;Rural;3;6;M
31;37;20;26;Secondary;Secondary;NotAtAll;At least once a week;Poorer;Rural;4;11;F
